user_id,video_id,watch_duration,pause_count,completion_rate,transaction_date,amount,customer_type,product_category
101,V001,1200,2,85,2026-07-28,1200.50,Enterprise,Movies
102,V002,900,1,70,2026-07-29,900.00,SMB,Series
103,V003,1500,3,95,2026-07-30,1500.75,Enterprise,Movies
104,V004,1100,2,80,2026-07-31,500.00,Startup,Series
105,V005,1000,1,75,2026-07-31,700.00,SMB,Movies
106,V006,800,1,90,2026-07-31,800.00,Startup,Series
107,V007,900,1,72,2026-07-31,900.00,SMB,Movies
108,V008,1300,2,88,2026-07-31,900.00,Enterprise,Series
109,V009,950,1,82,2026-07-31,650.00,Startup,Movies
110,V010,1400,2,92,2026-07-31,1100.00,Enterprise,Series
